municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia,vv_db,vh_db,n_img_radar,coherencia_final,fuente
La Unión,2023,0.6027863390711738,21,,4640.370000000001,237804.57,1790.0,✅ Coherente,,,,✅ Coherente,Optico
La Unión,2024,0.6131076532006282,31,,4105.1,235682.68,1807.0,✅ Coherente,,,,✅ Coherente,Optico
La Unión,2025,0.5723206157371223,23,,4804.300000000001,253935.69,1916.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2019,0.5440239654179208,28,,3371.0,185142.05,1607.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2020,0.6123396339247117,34,,3293.5599999999995,186091.04,1607.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2021,0.6302434710060636,22,,3143.6200000000003,178329.99000000002,1580.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2022,0.6233388423445592,20,,2872.21,209163.51,1580.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2023,0.6069629019315207,21,,3052.1200000000003,201863.31,1580.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2024,0.5491905427765206,31,,2909.9300000000003,202048.67,1580.0,✅ Coherente,,,,✅ Coherente,Optico
La Victoria,2025,0.6707191361884255,23,,3050.51,220468.28,1730.0,✅ Coherente,,,,✅ Coherente,Optico
Obando,2019,0.5573639895943413,48,,9669.5,708090.1000000001,5781.0,✅ Coherente,,,,✅ Coherente,Optico
Obando,2020,0.5990382832805202,63,,13323.0,1075867.6,8918.0,✅ Coherente,,,,✅ Coherente,Optico
Obando,2021,0.583113808623903,33,,13268.04,1078312.21,9018.0,✅ Coherente,,,,✅ Coherente,Optico
Obando,2022,0.6010724510139374,28,,11432.24,835640.33,7108.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Obando,2023,0.5908123515304167,35,,13175.169999999998,1037239.22,8808.5,✅ Coherente,,,,✅ Coherente,Optico
Obando,2024,0.5988113409960204,56,,13197.059999999998,1071403.71,9103.5,✅ Coherente,,,,✅ Coherente,Optico
Obando,2025,0.6518871696618393,38,,13127.22,1071125.4,9103.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Palmira,2019,0.5976242207887332,19,,35849.100000000006,4434312.499999999,34078.0,✅ Coherente,,,,✅ Coherente,Optico
Palmira,2020,0.6124569350186394,22,,36082.40000000001,4430301.25,34078.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Palmira,2021,0.5660971059942832,12,,36082.02,4803860.02,34078.0,✅ Coherente,,,,✅ Coherente,Optico
Palmira,2022,0.5250610457190251,9,,35776.74,4769933.7700000005,34078.0,✅ Coherente,,,,✅ Coherente,Optico
Palmira,2023,0.6017380460208869,13,,36002.88,4774908.97,34078.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Palmira,2024,0.6000655682790348,22,,35996.89,4775103.47,34078.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Palmira,2025,0.6427011050257472,8,,36196.4,4789231.100000001,34168.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Pradera,2019,,0,Nublado,11289.0,1163973.8,10525.0,Sin datos satelitales,-10.13,-16.21,74.0,✅ Coherente (radar),Radar
Pradera,2020,,3,Nublado,11437.0,1167086.0,10565.0,Sin datos satelitales,-10.2,-16.31,83.0,✅ Coherente (radar),Radar
Pradera,2021,,0,Nublado,11394.79,1158707.76,10590.0,Sin datos satelitales,-9.9,-15.95,72.0,✅ Coherente (radar),Radar
Pradera,2022,,1,Nublado,11453.350000000002,1168389.85,10580.0,Sin datos satelitales,-10.14,-16.26,30.0,✅ Coherente (radar),Radar
Pradera,2023,,1,Nublado,11228.31,1273847.09,10580.0,Sin datos satelitales,-10.1,-16.2,31.0,✅ Coherente (radar),Radar
Pradera,2024,0.580814535582732,5,,11273.28,1273784.1,10580.0,✅ Coherente,,,,✅ Coherente,Optico
Pradera,2025,,1,Nublado,11303.73,1274310.21,10580.0,Sin datos satelitales,-10.16,-16.2,68.0,✅ Coherente (radar),Radar
Restrepo,2019,0.6451141445785186,5,,3079.4,64832.56,345.0,✅ Coherente,,,,✅ Coherente,Optico
Restrepo,2020,,3,Nublado,2959.2,67110.7,345.0,Sin datos satelitales,-9.17,-15.4,113.0,✅ Coherente (radar),Radar
Restrepo,2021,,4,Nublado,2224.02,63887.350000000006,345.0,Sin datos satelitales,-8.94,-15.18,101.0,✅ Coherente (radar),Radar
Restrepo,2022,,1,Nublado,2296.38,69803.42,345.0,Sin datos satelitales,-9.02,-15.17,56.0,✅ Coherente (radar),Radar
Restrepo,2023,,2,Nublado,2409.2200000000003,71152.17,350.0,Sin datos satelitales,-9.13,-15.27,62.0,✅ Coherente (radar),Radar
Restrepo,2024,,1,Nublado,3013.98,74615.64,350.0,Sin datos satelitales,-9.18,-15.38,61.0,✅ Coherente (radar),Radar
Restrepo,2025,,0,Nublado,3232.53,77917.45,350.0,Sin datos satelitales,-9.03,-15.27,122.0,✅ Coherente (radar),Radar
Riofrío,2019,0.6131913825958156,7,,9087.5,305257.7,2641.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Riofrío,2020,0.584827992165953,5,,8924.5,303808.35000000003,2641.0,✅ Coherente,,,,✅ Coherente,Optico
Riofrío,2021,0.7462664257235455,6,,9019.2,406202.83,2676.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Riofrío,2022,,2,Nublado,9722.25,449005.3,2976.0,Sin datos satelitales,-7.9,-14.24,30.0,✅ Coherente (radar),Radar
Riofrío,2023,,2,Nublado,9702.24,448201.44,2976.0,Sin datos satelitales,-8.02,-14.38,31.0,✅ Coherente (radar),Radar
Riofrío,2024,0.7214247911081898,5,,9813.53,450319.28,2988.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Riofrío,2025,,2,Nublado,9624.16,442604.07,2908.0,Sin datos satelitales,-8.13,-14.47,68.0,✅ Coherente (radar),Radar
Roldanillo,2019,0.5872431567670302,28,,7088.41,375895.0,2734.3,✅ Coherente,,,,✅ Coherente,Optico
