municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia
Alcalá,2019,0.6531857425819252,41,,2986.0,32556.25,0.0,✅ Coherente
Alcalá,2020,0.6749389171193154,51,,3087.0899999999997,39578.71000000001,0.0,✅ Coherente
Alcalá,2021,0.6267953273496614,36,,3253.59,47312.13,0.0,✅ Coherente
Alcalá,2022,0.6723244752342391,21,,3227.96,38977.9,0.0,✅ Coherente
Alcalá,2023,0.6903816190199995,38,,3005.64,37114.200000000004,0.0,✅ Coherente
Alcalá,2024,0.6732565831471413,52,,3028.56,38594.240000000005,0.0,✅ Coherente
Alcalá,2025,0.7113709168706533,39,,3123.6,41878.19,0.0,✅ Coherente
Ansermanuevo,2019,0.5147233329639366,18,,5660.1,246982.90000000002,1560.0,✅ Coherente
Ansermanuevo,2020,0.6122677955453233,26,,5740.299999999999,247325.5,1560.0,✅ Coherente (Alto NDVI / Alta Area)
Ansermanuevo,2021,0.5985879664215958,18,,5960.11,263948.75,1722.0,✅ Coherente
Ansermanuevo,2022,0.5958262278358384,17,,6272.599999999999,289002.31,1902.0,✅ Coherente
Ansermanuevo,2023,0.5849076365860042,16,,6998.429999999999,249912.90000000002,1909.0,✅ Coherente
Ansermanuevo,2024,0.5711935435112179,25,,7102.24,250889.23000000004,1879.0,✅ Coherente
Ansermanuevo,2025,0.6406986046058952,20,,7084.629999999999,256953.49000000002,1879.0,✅ Coherente (Alto NDVI / Alta Area)
Argelia,2019,0.2765463523004207,18,,2703.0,19984.3,48.0,➖ Indeterminado
Argelia,2020,0.7604196501813426,26,,2743.3,20732.600000000002,45.0,✅ Coherente
Argelia,2021,0.7455837090381306,18,,2902.65,20182.210000000003,49.0,✅ Coherente
Argelia,2022,0.5357163283816526,17,,3290.0299999999997,22188.11,63.0,✅ Coherente
Argelia,2023,0.4406872187631255,16,,3302.34,23098.06,64.5,✅ Coherente
Argelia,2024,0.7187456215000779,25,,3344.7599999999998,25100.16,55.5,✅ Coherente
Argelia,2025,0.6091400776489372,20,,3411.87,30099.86,65.5,✅ Coherente
Bolívar,2019,0.611239321925423,10,,4702.0,117608.6,822.0,✅ Coherente
Bolívar,2020,0.6170665671266226,8,,5398.0,129260.21,840.0,✅ Coherente (Alto NDVI / Alta Area)
Bolívar,2021,,4,Nublado,6770.42,138048.15999999997,758.0,Sin datos satelitales
Bolívar,2022,,3,Nublado,8949.15,148722.4,703.0,Sin datos satelitales
Bolívar,2023,0.5736806641787549,5,,8639.6,142840.27000000002,678.0,✅ Coherente
Bolívar,2024,0.6366153282541198,6,,8574.9,130421.04000000001,572.0,✅ Coherente (Alto NDVI / Alta Area)
Bolívar,2025,,3,Nublado,8409.93,144764.91,696.0,Sin datos satelitales
Buenaventura,2019,,1,Nublado,2738.0,23161.1,270.0,Sin datos satelitales
Buenaventura,2020,,3,Nublado,2776.0,42067.56,270.0,Sin datos satelitales
Buenaventura,2021,,0,Nublado,3271.0,27716.5,272.0,Sin datos satelitales
Buenaventura,2022,,3,Nublado,4219.5,8659.95,222.0,Sin datos satelitales
Buenaventura,2023,,3,Nublado,4408.0,13200.14,272.0,Sin datos satelitales
Buenaventura,2024,,3,Nublado,2750.5,7330.49,272.0,Sin datos satelitales
Buenaventura,2025,0.5883213285214928,5,,2486.1000000000004,9569.64,276.0,✅ Coherente
Guadalajara de Buga,2019,0.28820220641366323,6,,9530.5,910032.7499999999,7804.0,➖ Indeterminado
Guadalajara de Buga,2020,0.28982048038875935,6,,9584.0,871530.3899999999,7804.0,➖ Indeterminado
Guadalajara de Buga,2021,,3,Nublado,8394.84,950358.3,6697.0,Sin datos satelitales
Guadalajara de Buga,2022,,4,Nublado,9608.59,949808.75,7816.0,Sin datos satelitales
Guadalajara de Buga,2023,0.39844946241013507,5,,9857.039999999999,952558.66,7816.0,➖ Indeterminado
Guadalajara de Buga,2024,,4,Nublado,10366.35,1043620.8,7885.0,Sin datos satelitales
Guadalajara de Buga,2025,0.4286740535022053,5,,10365.86,1076932.7599999998,8137.0,✅ Coherente
Bugalagrande,2019,0.6566159579938003,10,,13692.0,1168584.7,9630.0,✅ Coherente (Alto NDVI / Alta Area)
