cultivo,ciclo,h,anio,series_total,series_pronosticadas,observado_2025_t,referencia_naive_t,pron_central_t,pi80_lo,pi80_hi,pi95_lo,pi95_hi,esc_normal_t,esc_historico_t,esc_estres_t,modelo_central,delta_central_vs_naive_pct
Gulupa o cholupa,Permanente,2.0,2027.0,2,1,25.0,25.0,26.09367336742887,15.947603594373248,50.9171349658749,3.7541823289866656,157.11206878426526,26.98813356196108,26.09367336742887,22.46709445864696,pool_A_full,4.374693469715485
Habichuela,Transitorio,1.0,2026.0,31,27,6507.4,6507.4,6299.594297527003,6023.483760227387,8951.22693789053,5575.5466556264455,10506.48887862571,6522.513973965059,6299.594297527003,5681.11192001069,pool_A_full,-3.1933752723514286
Habichuela,Transitorio,2.0,2027.0,31,27,6507.4,6507.4,6098.424610971316,5656.17436259773,10134.060767436995,5046.953189478285,12993.02590818558,6537.663051382959,6098.424610971316,4959.743161276015,pool_A_full,-6.284774088402189
Lechuga,Transitorio,1.0,2026.0,8,6,4720.6,4720.6,4635.230546560875,3420.5999166586303,7574.078615051404,2741.34214310135,10149.790214155633,4868.714952515572,4635.230546560875,4191.867124345752,pool_A_full,-1.8084449739254604
Lechuga,Transitorio,2.0,2027.0,8,6,4720.6,4720.6,4551.404952711739,2895.138716555089,8318.80106017555,2014.8737382726076,12698.61597511048,5021.477203925076,4551.404952711739,3722.355206577706,pool_A_full,-3.5841852156137333
Lima,Permanente,,,1,0,,,,,,,,,,,,
Limón,Permanente,1.0,2026.0,42,42,23135.38,23135.38,23636.014282080643,22141.78367115061,28894.74828969089,20997.736023367208,41518.9612335399,24037.70816686617,23636.014282080643,21932.093489850187,pool_A_full,2.163933689788733
Limón,Permanente,2.0,2027.0,42,42,23135.38,23135.38,24147.48195805386,22178.87897015489,31435.843365120578,20854.69610991763,41686.40142989525,24975.22901786893,24147.48195805386,20791.39071186767,pool_A_full,4.374693469715463
Lulo,Permanente,1.0,2026.0,29,28,20188.36,20188.36,20625.222723455834,18881.908060143585,23723.21071908984,17619.44791470761,30918.42701374529,20975.748228368593,20625.222723455834,19138.349961260716,pool_A_full,2.163933689788733
Lulo,Permanente,2.0,2027.0,29,28,20188.36,20188.36,21071.538866562652,18861.333053020157,25219.3709426909,17449.038531818882,28193.968803702515,21793.846243078107,21071.538866562652,18142.951643406795,pool_A_full,4.374693469715485
Macadamia,Permanente,1.0,2026.0,4,2,210.0,210.0,214.54426074855633,173.28685788013263,299.93754604353694,137.93180202234572,645.3131834888865,218.19043884482966,214.54426074855633,199.07776024722912,pool_A_full,2.163933689788733
Macadamia,Permanente,2.0,2027.0,4,2,210.0,210.0,219.18685628640253,157.49839668690223,386.01310483521604,116.28213627337786,1059.6120605407555,226.70032192047307,219.18685628640253,188.72359345263447,pool_A_full,4.374693469715485
"Malanga, achín, yota, papa china, bore",Transitorio,1.0,2026.0,1,1,10.5,10.5,10.697517051872026,7.040394887896318,22.56341161554891,4.257921376903215,43.06250153018077,10.824889287085595,10.697517051872026,10.062905686583376,pool_A_full,1.8811147797335837
"Malanga, achín, yota, papa china, bore",Transitorio,2.0,2027.0,1,1,10.5,10.5,10.898749626199313,5.287584689736025,30.502858882596442,0.33279713428698365,61.02894719028737,11.159831245491477,10.898749626199313,9.644006748292574,pool_A_full,3.7976154876125046
Mandarina,Permanente,1.0,2026.0,32,31,23977.81,23977.81,24496.673908663535,22928.013963959507,28501.341174676116,20810.94988530436,36302.39494482096,24912.994697323546,24496.673908663535,22730.708144921966,pool_A_full,2.163933689788733
Mandarina,Permanente,2.0,2027.0,32,31,23977.81,23977.81,25026.765688250787,22258.423403908142,30635.29504780545,20072.11173799715,34196.30552044065,25884.65355213304,25026.765688250787,21548.46888725959,pool_A_full,4.374693469715485
Mango,Permanente,1.0,2026.0,24,20,3729.5200000000004,3729.5200000000004,3810.2243397474085,3450.5011681863534,5027.896070070623,3059.6576755912242,7298.65446061963,3874.9790737169956,3810.2243397474085,3535.545182844028,pool_A_full,2.1639336897887107
Mango,Permanente,2.0,2027.0,24,20,3729.5200000000004,3729.5200000000004,3892.675067891733,3598.7407111553894,6071.727883532564,3146.863299568387,9514.084715537274,4026.111355280203,3892.675067891733,3351.659125016521,pool_A_full,4.374693469715463
Maracuyá,Permanente,1.0,2026.0,37,35,10264.58,10264.58,10486.698704735318,10025.179695565534,14542.679269598377,9501.531652126434,21601.420877094875,10664.92007027553,10486.698704735318,9730.712363230969,pool_A_full,2.163933689788755
Maracuyá,Permanente,2.0,2027.0,37,35,10264.58,10264.58,10713.623910953722,10466.157523962183,18563.36764056684,9830.323114221459,31922.358560959306,11080.874239897377,10713.623910953722,9224.611537533538,pool_A_full,4.374693469715485
Maíz,Transitorio,1.0,2026.0,178,99,89183.93000000001,89183.93000000001,88852.0716770318,83903.0634496534,121231.27606008678,78969.28904265416,132628.6164027244,90736.66171795825,88852.0716770318,81507.91581339473,pool_A_full,-0.3721055160590181
Maíz,Transitorio,2.0,2027.0,178,99,89183.93000000001,89183.93000000001,88521.44821718885,83754.52955314284,137760.71635622834,76114.68570989852,158238.8062250517,92316.42718278048,88521.44821718885,74492.57215109767,pool_A_full,-0.7428264069672119
Melón,Transitorio,1.0,2026.0,6,4,2059.0,2059.0,2021.7641179868754,1323.8895339536912,3324.78794818527,736.9351119517083,5178.8110780566485,2123.6037976591033,2021.7641179868754,1828.3808009634163,pool_A_full,-1.8084449739254271
Melón,Transitorio,2.0,2027.0,6,4,2059.0,2059.0,1985.201626410514,1217.9306845898655,3858.117673356147,572.5912359986751,5991.020283308024,2190.23462332791,1985.201626410514,1623.5922065719394,pool_A_full,-3.584185215613689
Mora,Permanente,1.0,2026.0,24,23,3370.7999999999997,3370.7999999999997,3443.741876815399,3168.0312022672456,4638.094461484361,2918.048570939622,6083.108668694019,3502.2682440864364,3443.741876815399,3195.482448768381,pool_A_full,2.163933689788755
Mora,Permanente,2.0,2027.0,24,23,3370.7999999999997,3370.7999999999997,3518.2621674771694,3342.715190373644,5830.634801710876,3040.7922097411983,11114.639745677647,3638.864024426337,3518.2621674771694,3029.283280048287,pool_A_full,4.374693469715485
Naranja,Permanente,1.0,2026.0,32,32,135280.34000000003,135280.34000000003,138207.71685292074,128369.1803789594,149607.03865712232,123090.6596445079,173400.62846024454,140556.5559603703,138207.71685292074,128244.31948896972,pool_A_full,2.1639336897887107
Naranja,Permanente,2.0,2027.0,32,32,135280.34000000003,135280.34000000003,141198.44019978892,125531.72034330091,154142.42766547558,117598.20652053594,173625.02066198268,146038.55536910024,141198.44019978892,121574.24708711507,pool_A_full,4.374693469715485
Otras hortalizas,Transitorio,1.0,2026.0,9,4,281.75,281.75,276.6547062859651,226.86546963642607,517.4408161703509,170.24154338808728,2256.9688222489717,290.59027197205074,276.6547062859651,250.19246754319693,pool_A_full,-1.8084449739254271
Otras hortalizas,Transitorio,2.0,2027.0,9,4,281.75,281.75,271.6515581550084,211.79417602252957,669.3610168568148,144.07704704287488,2062.405335128991,299.70791895222857,271.6515581550084,222.1695503650529,pool_A_full,-3.5841852156137
Otros cítricos,Permanente,,,37,0,,,,,,,,,,,,
Papa,Transitorio,1.0,2026.0,4,3,9695.0,9695.0,9877.374077895172,6166.20367468995,15543.173774787436,2580.113955316172,25352.735865089948,9994.981108409032,9877.374077895172,9291.416250611983,pool_A_full,1.8811147797336059
Papa,Transitorio,2.0,2027.0,4,3,9695.0,9695.0,10063.178821524032,4429.888614263176,20242.506880931873,1645.5161808123103,31469.60879210437,10304.24418333713,10063.178821524032,8904.632897590145,pool_A_full,3.7976154876125046
Papaya,Permanente,1.0,2026.0,29,23,13555.18,13555.18,13848.505106731503,12798.668621808134,16052.048979405916,12086.880483840365,21876.463561246645,14083.860346765036,13848.505106731503,12850.166067371594,pool_A_full,2.163933689788733
Papaya,Permanente,2.0,2027.0,29,23,13555.18,13555.18,14148.17757426818,12599.23817318435,18147.58568849888,11538.617636635536,26393.501657766043,14633.160331856943,14148.17757426818,12181.820378558483,pool_A_full,4.374693469715485
Patilla,Transitorio,1.0,2026.0,5,4,1024.0,1024.0,1005.4815234670036,805.2763202933413,1473.5628181658585,666.5223036551745,2216.9956837827317,1056.1293291903457,1005.4815234670036,909.3064303965704,pool_A_full,-1.8084449739254271
Patilla,Transitorio,2.0,2027.0,5,4,1024.0,1024.0,987.2979433921157,788.0804638917037,1792.3696473701063,620.7411360777851,3602.4084887503423,1089.266757789111,987.2979433921157,807.4591644146022,pool_A_full,-3.5841852156137
Pepino Cohombro,Transitorio,1.0,2026.0,22,17,4897.5,4897.5,4808.931407402002,4440.753513235579,6828.902647708472,4094.8845942562566,8200.551716472482,5051.165419638396,4808.931407402002,4348.953362175003,pool_A_full,-1.8084449739254271
Pepino Cohombro,Transitorio,2.0,2027.0,22,17,4897.5,4897.5,4721.96452906532,4463.582854798211,8178.717115651986,3954.83884908295,12214.05882765649,5209.652291281417,4721.96452906532,3861.8469313676896,pool_A_full,-3.584185215613689
Perejil,Transitorio,1.0,2026.0,3,2,50.0,50.0,47.021013873607544,37.810531696797725,148.64128031922957,26.104125039456456,603.9311586192359,49.09281409278275,47.021013873607544,39.315285597373304,pool_A_full,-5.9579722527849155
Perejil,Transitorio,2.0,2027.0,3,2,50.0,50.0,44.21951491403985,33.89065883881667,196.67878930935163,19.52274356178428,1720.989171318737,48.202087910970576,44.21951491403985,30.913833632060577,pool_A_full,-11.560970171920303
Pimentón,Transitorio,1.0,2026.0,31,27,15089.59,15089.59,14816.703068059045,13719.422861348614,20484.008307672197,12214.646630890782,24230.12458382515,15563.045473102879,14816.703068059045,13399.473846726352,pool_A_full,-1.8084449739254382
