id_registro,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,tipo_anomalia
76306_cana_de_azucar_2021_permanente_cana_o_verde,Ginebra,Caña,2021,3300.0,3300.0,494950.5,149.99,Anomalia multivariada (Isolation Forest)
76306_cana_de_azucar_2022_permanente_cana_o_verde,Ginebra,Caña,2022,3200.0,2000.0,180000.0,90.0,Anomalia multivariada (Isolation Forest)
76306_cana_de_azucar_2023_permanente_cana_o_verde,Ginebra,Caña,2023,3200.0,3000.0,276000.0,92.0,Anomalia multivariada (Isolation Forest)
76306_cana_de_azucar_2024_permanente_cana_o_verde,Ginebra,Caña,2024,3200.0,3200.0,294400.0,92.0,Anomalia multivariada (Isolation Forest)
76318_cana_de_azucar_2019_permanente_cana_o_verde,Guacarí,Caña,2019,13234.0,13156.0,1683968.0,128.0,Anomalia multivariada (Isolation Forest)
76318_cana_de_azucar_2020_permanente_cana_o_verde,Guacarí,Caña,2020,13271.0,13193.0,1688704.0,128.0,Anomalia multivariada (Isolation Forest)
76318_cana_de_azucar_2021_permanente_cana_o_verde,Guacarí,Caña,2021,13308.0,13230.0,1683649.8,127.26,Anomalia multivariada (Isolation Forest)
76318_cana_de_azucar_2022_permanente_cana_o_verde,Guacarí,Caña,2022,13308.0,13308.0,1730040.0,130.0,Anomalia multivariada (Isolation Forest)
76318_cana_de_azucar_2023_permanente_cana_o_verde,Guacarí,Caña,2023,13308.0,13308.0,1703424.0,128.0,Anomalia multivariada (Isolation Forest)
76318_cana_de_azucar_2024_permanente_cana_o_verde,Guacarí,Caña,2024,13311.0,13308.0,1703424.0,128.0,Anomalia multivariada (Isolation Forest)
76364_cana_de_azucar_2019_permanente_cana_o_verde,Jamundí,Caña,2019,9217.0,9207.0,828630.0,90.0,Anomalia multivariada (Isolation Forest)
76364_cana_de_azucar_2020_permanente_cana_o_verde,Jamundí,Caña,2020,9237.0,9217.0,829530.0,90.0,Anomalia multivariada (Isolation Forest)
76364_cana_de_azucar_2021_permanente_cana_o_verde,Jamundí,Caña,2021,9237.0,9237.0,1016070.0,110.0,Anomalia multivariada (Isolation Forest)
76364_cana_de_azucar_2022_permanente_cana_o_verde,Jamundí,Caña,2022,9237.0,9237.0,1016070.0,110.0,Anomalia multivariada (Isolation Forest)
76364_cana_de_azucar_2023_permanente_cana_o_verde,Jamundí,Caña,2023,9237.0,9237.0,1016070.0,110.0,Anomalia multivariada (Isolation Forest)
76364_cana_de_azucar_2024_permanente_cana_o_verde,Jamundí,Caña,2024,9240.0,9237.0,1016070.0,110.0,Anomalia multivariada (Isolation Forest)
76400_cana_de_azucar_2019_permanente_cana_o_verde,La Unión,Caña,2019,1790.0,1790.0,229120.0,128.0,Anomalia multivariada (Isolation Forest)
