series_id,year,P,AC,AS,n_rows,n_halves,is_semester_reporter,partial_year
"76020|Piña Cayena, Gold, Manzana y/o Perolera",2025,3347.4,47.82,49.82,1,0,False,False
76020|Piña demás variedades,2019,2868.0,47.8,47.8,1,0,False,False
76020|Piña demás variedades,2020,2350.8,39.18,39.18,1,0,False,False
76020|Plátano consumo interno,2019,12540.0,1254.0,1254.0,1,0,False,False
76020|Plátano consumo interno,2020,12540.0,1254.0,1294.0,1,0,False,False
76020|Plátano consumo interno,2021,15288.0,1200.0,1200.0,1,0,False,False
76020|Plátano consumo interno,2022,12000.0,1200.0,1200.0,1,0,False,False
76020|Plátano consumo interno,2023,12000.0,1200.0,1200.0,1,0,False,False
76020|Plátano consumo interno,2024,12000.0,1200.0,1225.0,1,0,False,False
76020|Plátano consumo interno,2025,13475.0,1225.0,1245.0,1,0,False,False
76020|Sábila,2019,63.0,7.0,7.0,1,0,False,False
76020|Tomate,2019,2396.6,72.9,75.2,2,2,True,False
76020|Tomate,2020,6716.5,70.7,70.7,2,2,True,False
76020|Tomate,2021,4598.17,87.23,87.23,2,2,True,False
76020|Tomate,2022,2124.0,38.0,43.0,2,2,True,False
76020|Tomate,2023,1643.0,30.2,30.2,2,2,True,False
76020|Tomate,2024,2140.0,40.0,40.0,2,2,True,False
76020|Tomate,2025,2400.0,40.0,40.0,2,2,True,False
76020|Yuca consumo en fresco,2019,600.0,20.0,20.0,2,2,True,False
76020|Yuca consumo en fresco,2020,506.0,92.0,92.0,2,2,True,False
76020|Yuca consumo en fresco,2021,1122.8899999999999,100.44,100.44,2,2,True,False
76020|Yuca consumo en fresco,2022,1203.4,100.44,49.4,2,2,True,False
76020|Yuca consumo en fresco,2023,720.0,45.0,48.0,2,2,True,False
76020|Yuca consumo en fresco,2024,688.0,43.0,13.0,2,2,True,False
76020|Yuca consumo en fresco,2025,270.0,15.0,18.0,2,2,True,False
76036|Aguacate Papelillo,2020,560.0,56.0,57.0,1,0,False,False
76036|Aguacate Papelillo,2021,405.0,45.0,45.0,1,0,False,False
76036|Aguacate Papelillo,2022,360.0,40.0,50.0,1,0,False,False
76036|Aguacate Papelillo,2023,306.0,34.0,44.0,1,0,False,False
76036|Aguacate Papelillo,2024,360.0,40.0,40.0,1,0,False,False
76036|Aguacate Papelillo,2025,360.0,40.0,40.0,1,0,False,False
76036|Aguacate demás variedades,2019,560.0,56.0,57.0,1,0,False,False
76036|Algodón,2020,47.0,43.0,43.0,1,1,True,True
76036|Banano consumo interno,2019,240.0,30.0,35.0,1,0,False,False
76036|Banano consumo interno,2020,280.0,35.0,35.0,1,0,False,False
76036|Banano consumo interno,2021,150.0,30.0,30.0,1,0,False,False
76036|Banano consumo interno,2022,196.0,28.0,33.4,1,0,False,False
76036|Banano consumo interno,2023,212.8,30.4,40.4,1,0,False,False
76036|Banano consumo interno,2024,387.8,55.4,55.4,1,0,False,False
76036|Banano consumo interno,2025,443.2,55.4,55.4,1,0,False,False
76036|Cacao,2019,17.5,50.0,55.0,1,0,False,False
76036|Cacao,2020,11.48,32.8,62.8,1,0,False,False
76036|Cacao,2021,50.24,62.8,72.8,1,0,False,False
76036|Cacao,2022,56.64,70.8,77.8,1,0,False,False
76036|Cacao,2023,56.64,70.8,94.8,1,0,False,False
76036|Cacao,2024,80.64,100.8,100.8,1,0,False,False
76036|Cacao,2025,94.8,94.8,104.0,1,0,False,False
76036|Café,2019,222.0,184.0,207.0,1,0,False,False
76036|Café,2020,209.0,187.0,205.0,1,0,False,False
76036|Café,2021,190.52,190.52,205.25,1,0,False,False
76036|Café,2022,76.73,188.78,205.28,1,0,False,False
76036|Café,2023,43.74,166.73,193.85,1,0,False,False
76036|Café,2024,50.65,163.4,190.08,1,0,False,False
76036|Café,2025,67.57,168.68,183.53,1,0,False,False
76036|Caña de azúcar,2019,385700.0,4060.0,4160.0,1,0,False,False
76036|Caña de azúcar,2020,395819.4,4166.52,4176.52,1,0,False,False
76036|Caña de azúcar,2021,501182.4,4176.52,4226.52,1,0,False,False
76036|Caña de azúcar,2022,506582.4,4221.52,4241.52,1,0,False,False
76036|Caña de azúcar,2023,507782.4,4231.52,4271.52,1,0,False,False
76036|Caña de azúcar,2024,512582.4,4271.52,4271.52,1,0,False,False
76036|Caña de azúcar,2025,512582.4,4271.52,4300.0,1,0,False,False
76036|Limón Pajarito,2024,2250.0,150.0,150.0,1,0,False,False
